,TRANS_CIS,SEX,GENDER_IDENTITY,SURVEYCOMPLETED,Q82,Q84
142,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
143,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
144,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
145,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
146,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
147,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
149,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
151,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
152,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly dissatisfied
153,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
154,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
155,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
156,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
158,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
160,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
161,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
162,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
163,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly dissatisfied
164,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
165,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
166,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
167,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
168,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
169,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
170,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
172,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly dissatisfied
173,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
174,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
175,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
176,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
177,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
178,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
179,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
180,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
181,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
182,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
183,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
184,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
185,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
186,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
187,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
188,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
189,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
190,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
191,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
192,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
193,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
194,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
195,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
196,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
197,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
198,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
199,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
200,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
201,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
202,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
203,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
204,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
205,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
206,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
207,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
208,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
209,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
210,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
211,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
212,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
214,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
215,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
216,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
217,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
218,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
219,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
220,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
221,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
222,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
223,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
225,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
227,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
228,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
229,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
230,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
231,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
233,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
234,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
235,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
236,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
237,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
238,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
241,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
242,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
243,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
245,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
246,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
247,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
248,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
249,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
250,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
251,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
252,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
254,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
255,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
256,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
257,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
259,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
260,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
261,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
262,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
263,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
265,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
267,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
268,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
269,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
270,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
271,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
272,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
273,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
274,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
275,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
277,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
278,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
280,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
281,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
282,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
283,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
284,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
285,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
286,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
287,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
288,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
290,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
292,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
294,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
295,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
296,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
298,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
299,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
301,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
302,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
303,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
305,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
306,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
307,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
308,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
309,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
310,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
311,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
312,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
314,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
315,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
316,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
317,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
318,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
319,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
320,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
321,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
323,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
324,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
325,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
326,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
327,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
328,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
329,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
330,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
331,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
333,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
334,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
335,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
336,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
338,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
339,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
340,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
341,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
342,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
343,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
344,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
345,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
346,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
347,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
348,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
349,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
350,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
351,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
352,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
353,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
354,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
355,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
356,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
358,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
360,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
361,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
362,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
363,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
364,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
365,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
366,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
367,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
369,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
371,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
372,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
373,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
374,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
375,Cis,Male,Cis man,2,"Yes, there are one or more places",Very dissatisfied
376,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
377,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
378,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
379,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
380,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
383,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
384,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
385,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
386,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
387,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
388,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
389,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
390,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
391,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
392,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
393,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
394,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
395,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
396,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
397,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
398,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
399,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
400,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
401,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
402,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
403,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
404,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
405,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
407,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
408,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
409,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
411,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
412,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
413,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
414,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
415,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
416,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
417,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
418,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
420,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
421,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
422,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
423,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
424,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
425,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
427,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
429,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
430,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
431,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
432,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
433,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
434,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
435,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
437,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
438,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
439,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
440,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
441,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
442,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
443,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
444,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
445,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
448,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
449,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
450,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
451,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
452,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
453,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
454,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
457,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
458,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
459,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
461,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
462,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
463,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
464,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
465,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
466,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
468,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
469,Cis,Female,Cis woman,2,"Yes, there are one or more places",Neutral
470,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly dissatisfied
472,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
473,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
474,Cis,Male,Cis man,2,"Yes, there are one or more places",Mostly satisfied
476,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
477,Cis,Male,Cis man,2,"Yes, there are one or more places",Neutral
478,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
480,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
481,Cis,Female,Cis woman,2,"Yes, there are one or more places",Very satisfied
482,Cis,Female,Cis woman,2,"Yes, there are one or more places",Mostly satisfied
483,Cis,Male,Cis man,2,"Yes, there are one or more places",Very satisfied
